Shoulders,Bust,Waist,Hips,WHR,BodyShape
37.93714046388829,39.571713486253856,25.105259279340903,39.204414072154336,0.6403681797956619,Hourglass
39.30862763329644,37.92422117180367,29.109963483549937,37.747134675669585,0.7711833953402866,Inverted Triangle
36.94222960578771,38.869483489897675,25.148550199348644,44.62392191530168,0.5635665607133722,Pear
41.27248972051269,40.68099629827945,24.193550480340203,41.13318255334051,0.5881759926785776,Hourglass
44.25132489613986,42.10003996295259,28.288770800198115,34.523097565588486,0.8194157765378346,Inverted Triangle
38.559148657174596,41.15057376542521,31.118122998746653,42.30042158440212,0.7356456941370335,Pear
36.5112745234808,36.786515512713876,26.890270772683493,38.1214721685799,0.7053838491275981,Pear
36.71081829205099,41.94935161402269,28.06405015097192,40.628440903528876,0.6907488824788832,Hourglass
43.06968684137179,36.7324406474333,32.77287643013469,35.932828173150575,0.912059475870117,Inverted Triangle
41.0069856783359,42.390373499639175,35.802259310442665,34.95238948453619,1.0243150708274888,Apple
39.574119975236115,41.04231188957738,32.90234582210445,34.58294839413122,0.951403722063444,Apple
42.086973954427464,42.070920173661,25.991254610483445,43.37197525599949,0.5992637978111953,Hourglass
37.86536616729102,35.67763703995469,31.983137584196196,35.33670605929259,0.9050967436107561,Inverted Triangle
40.826710878614044,41.778124434720915,28.04479660137132,45.13091895490467,0.6214098283572289,Pear
42.50717000343168,38.88876590179957,33.01972786551502,34.949787528858465,0.9447762118224676,Inverted Triangle
43.59389075680612,41.858049358406696,34.91845991532251,35.54357437011256,0.9824127295617266,Inverted Triangle
39.679875740567496,41.695258513803324,24.089116542535358,40.619112711788866,0.5930488121062276,Hourglass
38.789858496989176,40.02060736711352,24.351836674725256,41.63080431221627,0.5849475424999027,Pear
39.172910609033444,43.86841408874359,26.839197740466233,45.00198799526595,0.596400268879002,Pear
37.38249905712412,41.69349303548187,34.739739454632144,34.518674704955764,1.0064042073331583,Apple
40.97433108360375,35.517829623526154,31.584605937620736,34.314359263010125,0.9204486581122912,Inverted Triangle
42.101616513206984,43.50211691626,29.157760054638985,44.474546971861685,0.6556055550849482,Pear
38.559576679736146,43.15716383484616,25.785331874905243,45.28034817913928,0.569459664331481,Pear
43.32716197283213,42.152658058357574,25.487076119087334,41.15784278010084,0.6192519917834451,Hourglass
35.03532210966248,37.77066852649955,35.129459982751825,36.38038826832063,0.9656153123946154,Apple
35.52091134389499,36.88134672168642,28.468757767129343,44.28583669445492,0.6428411404654335,Pear
35.266111155599596,43.04179075710806,32.170835987939476,44.85071192877061,0.7172870753764489,Pear
44.37668356790596,42.89613300395648,28.185567793043894,41.615656843096566,0.6772827808368348,Hourglass
43.20574219677886,37.57921825667392,33.35719994506734,36.84973863985919,0.9052221583190803,Inverted Triangle
44.47119539907433,39.41191972537629,28.426498100171123,41.34372446865886,0.6875650044959107,Hourglass
41.559231028884746,36.867838381414735,27.088177268886852,34.99183211199842,0.7741285789833946,Inverted Triangle
